"rules","support","confidence","lift","count"
"{Chairs,Machines,Storage} => {Phones}",0.00242653006201132,1,4.8996036988111,9
"{Chairs,Machines,Storage} => {Furnishings}",0.00215691561067673,0.888888888888889,4.08536417458351,8
"{Chairs,Machines,Storage} => {Paper}",0.00188730115934214,0.777777777777778,2.68351421188631,7
"{Chairs,Machines,Storage} => {Binders}",0.00188730115934214,0.777777777777778,2.45931609358719,7
"{Chairs,Machines,Phones} => {Paper}",0.00350498786734969,0.764705882352941,2.63841313269494,13
"{Chairs,Machines,Paper} => {Phones}",0.00350498786734969,0.8125,3.98092800528402,13
"{Chairs,Machines,Phones} => {Binders}",0.00350498786734969,0.764705882352941,2.41798304999749,13
"{Binders,Chairs,Machines} => {Phones}",0.00350498786734969,0.764705882352941,3.74675576967907,13
"{Chairs,Furnishings,Machines} => {Binders}",0.0032353734160151,0.8,2.52958226768968,12
"{Chairs,Machines,Paper} => {Binders}",0.0032353734160151,0.75,2.37148337595908,12
"{Art,Machines,Storage} => {Phones}",0.00269614451334592,0.833333333333333,4.08300308234258,10
"{Art,Machines,Phones} => {Storage}",0.00269614451334592,0.833333333333333,4.31680633147114,10
"{Art,Machines,Storage} => {Furnishings}",0.00296575896468051,0.916666666666667,4.21303180503924,11
"{Art,Machines,Storage} => {Binders}",0.00269614451334592,0.833333333333333,2.63498152884342,10
"{Art,Machines,Phones} => {Furnishings}",0.00269614451334592,0.833333333333333,3.83002891367204,10
"{Art,Machines,Phones} => {Paper}",0.00242653006201132,0.75,2.58767441860465,9
"{Art,Machines,Phones} => {Binders}",0.00269614451334592,0.833333333333333,2.63498152884342,10
"{Art,Furnishings,Machines} => {Binders}",0.0032353734160151,0.8,2.52958226768968,12
"{Art,Binders,Machines} => {Furnishings}",0.0032353734160151,0.857142857142857,3.93945831120552,12
"{Accessories,Machines,Storage} => {Phones}",0.00269614451334592,0.769230769230769,3.76892592216238,10
"{Accessories,Machines,Storage} => {Furnishings}",0.00269614451334592,0.769230769230769,3.53541130492803,10
"{Accessories,Machines,Storage} => {Paper}",0.00269614451334592,0.769230769230769,2.65402504472272,10
"{Accessories,Machines,Storage} => {Binders}",0.00296575896468051,0.846153846153846,2.67551970621024,11
"{Accessories,Machines,Phones} => {Binders}",0.00404421677001887,0.789473684210526,2.49629829048324,15
"{Accessories,Machines,Paper} => {Binders}",0.00350498786734969,0.928571428571429,2.93612227499696,13
"{Machines,Phones,Storage} => {Furnishings}",0.00404421677001887,0.75,3.44702602230483,15
"{Machines,Phones,Storage} => {Paper}",0.00404421677001887,0.75,2.58767441860465,15
"{Machines,Paper,Storage} => {Phones}",0.00404421677001887,0.75,3.67470277410832,15
"{Machines,Phones,Storage} => {Binders}",0.00404421677001887,0.75,2.37148337595908,15
"{Binders,Machines,Storage} => {Phones}",0.00404421677001887,0.833333333333333,4.08300308234258,15
"{Binders,Machines,Storage} => {Furnishings}",0.00377460231868428,0.777777777777778,3.57469365276057,14
"{Binders,Machines,Storage} => {Paper}",0.00377460231868428,0.777777777777778,2.68351421188631,14
"{Bookcases,Phones,Supplies} => {Art}",0.00134807225667296,0.833333333333333,4.48597000483793,5
"{Bookcases,Paper,Supplies} => {Art}",0.00134807225667296,0.833333333333333,4.48597000483793,5
"{Art,Bookcases,Supplies} => {Binders}",0.00161768670800755,0.75,2.37148337595908,6
"{Bookcases,Phones,Supplies} => {Binders}",0.00134807225667296,0.833333333333333,2.63498152884342,5
"{Art,Fasteners,Supplies} => {Phones}",0.00134807225667296,0.833333333333333,4.08300308234258,5
"{Fasteners,Phones,Supplies} => {Art}",0.00134807225667296,0.833333333333333,4.48597000483793,5
"{Fasteners,Furnishings,Supplies} => {Art}",0.00107845780533837,0.8,4.30653120464441,4
"{Art,Fasteners,Supplies} => {Paper}",0.00161768670800755,1,3.45023255813953,6
"{Binders,Fasteners,Supplies} => {Art}",0.00107845780533837,1,5.38316400580552,4
